,Player,Prop,Over,Over Odds,Under,Under Odds
0,Joel Embiid,Points,33.5,-120,33.5,-102
1,Tobias Harris,Points,21.5,-106,21.5,-116
2,Seth Curry,Points,15.5,-116,15.5,-106
3,Ben Simmons,Points,13.5,-116,13.5,-106
4,Trae Young,Points,27.5,-120,27.5,-102
5,Bogdan Bogdanovic,Points,17.5,-104,17.5,-116
6,Clint Capela,Points,10.5,-122,10.5,100
7,John Collins,Points,15.5,-126,15.5,102
8,Kevin Huerter,Points,10.5,100,10.5,-122
9,Furkan Korkmaz,Points,9.5,-114,9.5,-108
10,Lou Williams,Points,7.5,-124,7.5,102
11,Shake Milton,Points,5.5,-126,5.5,102
12,Danilo Gallinari,Points,13.5,102,13.5,-126
13,Matisse Thybulle,Points,5.5,112,5.5,-136
14,Trae Young,Rebounds,3.5,130,3.5,-160
15,Seth Curry,Rebounds,3.5,130,3.5,-160
16,Joel Embiid,Rebounds,12.5,-134,12.5,110
17,Tobias Harris,Rebounds,6.5,-140,6.5,114
18,Bogdan Bogdanovic,Rebounds,4.5,-118,4.5,-104
19,Ben Simmons,Rebounds,7.5,-110,7.5,-110
20,Clint Capela,Rebounds,12.5,104,12.5,-128
21,John Collins,Rebounds,8.5,104,8.5,-128
22,Kevin Huerter,Rebounds,3.5,112,3.5,-138
23,Trae Young,Assists,9.5,-110,9.5,-110
24,Ben Simmons,Assists,7.5,-140,7.5,114
25,Tobias Harris,Assists,3.5,100,3.5,-122
26,Bogdan Bogdanovic,Assists,2.5,-144,2.5,118
27,Seth Curry,Assists,2.5,-106,2.5,-114
28,Joel Embiid,Assists,3.5,-110,3.5,-110
29,Kevin Huerter,Assists,2.5,124,2.5,-152
30,John Collins,Assists,1.5,160,1.5,-200
31,Trae Young,Made Threes,2.5,-130,2.5,102
32,Bogdan Bogdanovic,Made Threes,2.5,-180,2.5,140
33,Tobias Harris,Made Threes,1.5,126,1.5,-162
34,Joel Embiid,Made Threes,1.5,110,1.5,-140
35,Seth Curry,Made Threes,3.5,130,3.5,-166
36,Kevin Huerter,Made Threes,1.5,-154,1.5,120
37,Furkan Korkmaz,Made Threes,1.5,-156,1.5,122
38,John Collins,Made Threes,1.5,126,1.5,-162
39,Danilo Gallinari,Made Threes,1.5,-120,1.5,-106
40,Seth Curry,Reb + Ast,5.5,-122,5.5,-104
41,Joel Embiid,Reb + Ast,16.5,-120,16.5,-106
42,Bogdan Bogdanovic,Reb + Ast,7.5,-120,7.5,-106
43,Trae Young,Reb + Ast,12.5,-122,12.5,-104
44,Ben Simmons,Reb + Ast,15.5,-118,15.5,-108
45,Tobias Harris,Reb + Ast,10.5,-113,10.5,-113
46,Joel Embiid,Pts + Ast,37.5,-113,37.5,-113
47,Tobias Harris,Pts + Ast,24.5,-125,24.5,-102
48,Seth Curry,Pts + Ast,18.5,-111,18.5,-115
49,Ben Simmons,Pts + Ast,21.5,-125,21.5,-102
50,Trae Young,Pts + Ast,37.5,-113,37.5,-113
51,Bogdan Bogdanovic,Pts + Ast,20.5,-111,20.5,-115
52,Joel Embiid,Pts + Reb,47.5,-104,47.5,-122
53,Tobias Harris,Pts + Reb,28.5,-113,28.5,-113
54,Seth Curry,Pts + Reb,18.5,-128,18.5,100
55,Ben Simmons,Pts + Reb,21.5,-113,21.5,-113
56,Trae Young,Pts + Reb,31.5,-106,31.5,-120
57,Bogdan Bogdanovic,Pts + Reb,22.5,-104,22.5,-122
58,Joel Embiid,Pts + Reb + Ast,50.5,-120,50.5,-106
59,Tobias Harris,Pts + Reb + Ast,32.5,-106,32.5,-120
60,Seth Curry,Pts + Reb + Ast,21.5,-118,21.5,-108
61,Ben Simmons,Pts + Reb + Ast,29.5,-118,29.5,-108
